WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (1579396.0812 6181775.2488)",100100,North Cape,826.78512205,826.78512205,1579396.08115,6181775.2488,-34.50545276,172.77554997,1579396.0812,6181775.2488
"POINT (1612554.6505 6136232.7661)",100200,Rangaunu Harbour,272.10405305,272.10405305,1612554.6505,6136232.76615,-34.91627744,173.13744282,1612554.6505,6136232.7661
"POINT (1705412.8722 6102111.0264)",100300,Inlets Far North District,0,625.97275382,1705412.87215,6102111.0264,-35.21850133,174.15824941,1705412.8722,6102111.0264
"POINT (1634562.5745 6127415.055)",100400,Karikari Peninsula,174.18081591,174.18081591,1634562.57445,6127415.05495,-34.99527816,173.37873836,1634562.5745,6127415.055
"POINT (1619918.067 6113278.3712)",100500,Tangonge,177.20434269,177.20434269,1619918.06695,6113278.3712,-35.12314727,173.21860407,1619918.067,6113278.3712
"POINT (1614655.6119 6109255.0259)",100600,Ahipara,4.5292775,4.5292775,1614655.61185,6109255.02585,-35.15951697,173.16091938,1614655.6119,6109255.0259
"POINT (1624073.0286 6115410.045)",100700,Kaitaia East,5.26631029,5.26631029,1624073.02855,6115410.04495,-35.10383477,173.26414302,1624073.0286,6115410.045
"POINT (1624343.9204 6113419.0176)",100800,Kaitaia West,3.21185052,3.21185052,1624343.92035,6113419.01755,-35.1217817,173.26717397,1624343.9204,6113419.0176
"POINT (1628355.363 6112734.3932)",100900,Rangitihi,84.66042662,84.66042662,1628355.363,6112734.3932,-35.12785001,173.3112224,1628355.363,6112734.3932
"POINT (1642075.2483 6123164.914)",101000,Oruru-Parapara,103.28072757,103.28072757,1642075.24825,6123164.91395,-35.03331749,173.46127559,1642075.2483,6123164.914
"POINT (1646334.5359 6127202.1685)",101100,Taumarumaru,10.2297234,10.2297234,1646334.53585,6127202.16855,-34.99672682,173.50774402,1646334.5359,6127202.1685
"POINT (1633904.2861 6105862.4712)",101200,Herekino-Takahue,303.69091784,303.69091784,1633904.28605,6105862.4712,-35.18964254,173.37240745,1633904.2861,6105862.4712
